+++++++++++++++++++++++++++++++++++
IRF for ON AXIS
log(E)   Area         r68       r80      ERes.     BG Rate    Diff Sens
-2.0       0.0    0.0000    0.0000    0.0000    0.00000000    0.000000e+00
-1.8       0.0    0.0000    0.0000    0.0000    0.00000000    0.000000e+00
-1.6       0.0    0.0000    0.0000    0.0000    0.00000000    0.000000e+00
-1.4       0.0    0.0000    0.0000    0.0000    0.00000000    0.000000e+00
-1.2       0.0    0.0000    0.0000    0.0000    0.00000000    0.000000e+00
-1.0       0.0    0.0000    0.0000    0.0000    0.00000000    0.000000e+00
-0.8       0.0    0.0000    0.0000    0.0000    0.00000000    0.000000e+00
-0.6       0.0    0.0000    0.0000    0.0000    0.00000000    0.000000e+00
-0.4       0.0    0.0000    0.0000    0.0000    0.00000000    0.000000e+00
-0.2       0.0    0.0000    0.0000    0.0000    0.00000000    0.000000e+00
-0.0       0.0    0.0000    0.0000    0.0000    0.00000000    0.000000e+00
0.2       7045.3    0.1355    0.1764    0.1368    0.00000000    0.000000e+00
0.4       39824.7    0.1075    0.1518    0.1222    0.00000000    0.000000e+00
0.6       141911.7    0.0799    0.1064    0.1183    0.00001621    1.051026e-12
0.8       282517.1    0.0698    0.0907    0.1033    0.00001652    7.613567e-13
1.0       372093.3    0.0635    0.0827    0.1020    0.00001679    8.118874e-13
1.2       493827.6    0.0613    0.0808    0.1088    0.00001610    9.494925e-13
1.4       557620.2    0.0645    0.0914    0.1097    0.00001427    1.217832e-12
1.6       661707.3    0.0737    0.1131    0.1214    0.00001078    1.533251e-12
1.8       781255.9    0.0938    0.1428    0.1186    0.00000547    1.912365e-12
2.0       510052.9    0.1155    0.1809    0.1219    0.00000211    3.002351e-12
+++++++++++++++++++++++++++++++++++
